product_category_name_english,n_orders,avg_review_score,late_rate,avg_freight_ratio
security_and_services,2,2.5,0.0,0.1475
pc_gamer,7,3.4286,0.0,0.1116
portable_kitchen_food_processors,13,3.6154,0.0769,0.3709
office_furniture,1254,3.6435,0.0917,0.2653
fashion_male_clothing,106,3.8173,0.0472,0.2698
home_comfort_2,24,3.8261,0.1667,0.8971
audio,348,3.8406,0.1293,0.3256
home_confort,392,3.9023,0.1046,0.2053
furniture_mattress_and_upholstery,37,3.9118,0.1351,0.4723
fashio_female_clothing,36,3.9167,0.0556,0.2865
diapers_and_hygiene,25,3.96,0.04,0.3711
fixed_telephony,212,3.9665,0.0519,0.423
construction_tools_safety,159,3.9747,0.044,0.2402
home_construction,483,3.9854,0.0807,0.2493
fashion_underwear_beach,117,3.9912,0.1282,0.4039
bed_bath_table,9272,4.004,0.0875,0.2728
telephony,4093,4.0522,0.0853,0.5086
furniture_decor,6307,4.0618,0.0848,0.3278
furniture_living_room,414,4.069,0.0845,0.3181
party_supplies,38,4.0789,0.0263,0.3403
computers_accessories,6530,4.086,0.077,0.2987
market_place,274,4.0929,0.0474,0.3175
baby,2809,4.1033,0.0918,0.2874
air_conditioning,246,4.1046,0.0407,0.2188
agro_industry_and_commerce,177,4.1073,0.0508,0.2428
signaling_and_security,138,4.1103,0.058,0.4405
christmas_supplies,125,4.1138,0.096,0.6653
art,195,4.1146,0.0769,0.2788
watches_gifts,5495,4.1215,0.0852,0.1652
electronics,2517,4.127,0.0981,0.6866
construction_tools_construction,736,4.1305,0.091,0.3768
kitchen_dining_laundry_garden_furniture,241,4.1387,0.0456,0.3509
home_appliances_2,227,4.1435,0.0705,0.195
auto,3810,4.1482,0.0861,0.3233
construction_tools_lights,242,4.1506,0.0909,0.24
tablets_printing_image,79,4.1558,0.0633,0.225
arts_and_craftmanship,23,4.1739,0.087,0.3837
garden_tools,3448,4.1801,0.0795,0.3266
consoles_games,1018,4.1809,0.0815,0.3788
dvds_blu_ray,56,4.1964,0.0714,0.8227
housewares,5743,4.1967,0.0695,0.3756
music,38,4.2105,0.0789,0.4245
cool_stuff,3559,4.2182,0.0683,0.2074
industry_commerce_and_business,232,4.2183,0.0819,0.2696
home_appliances,747,4.2236,0.0669,0.3918
computers,177,4.2241,0.0734,0.0561
health_beauty,8647,4.2294,0.0896,0.2798
sports_leisure,7530,4.2295,0.0776,0.2832
musical_instruments,611,4.2347,0.0884,0.2512
drinks,287,4.2369,0.0662,0.3898
toys,3804,4.2383,0.0752,0.2614
costruction_tools_garden,190,4.2394,0.0684,0.4175
fashion_bags_accessories,1820,4.2436,0.0665,0.3335
furniture_bedroom,90,4.2472,0.0778,0.3355
la_cuisine,13,4.25,0.0,0.1854
small_appliances,609,4.255,0.0624,0.2534
perfumery,3086,4.262,0.0739,0.2594
pet_shop,1688,4.2731,0.0628,0.2885
fashion_shoes,235,4.2926,0.0638,0.285
stationery,2264,4.2976,0.0777,0.3107
food,441,4.3318,0.0998,0.3434
cine_photo,63,4.3333,0.0794,0.3427
luggage_accessories,1019,4.3692,0.055,0.2592
fashion_sport,26,4.3846,0.0769,0.2741
flowers,29,4.3929,0.0345,0.569
books_technical,256,4.4252,0.1094,0.3506
costruction_tools_tools,97,4.4255,0.0619,0.3778
small_appliances_home_oven_and_coffee,72,4.4306,0.0694,0.1682
books_imported,50,4.44,0.04,0.2522
food_drink,221,4.445,0.0633,0.4616
books_general_interest,496,4.5346,0.0685,0.3496
cds_dvds_musicals,12,4.6667,0.0,0.3044
fashion_childrens_clothes,7,5.0,0.0,0.1791
