seller_state;n_sellers_total;n_sellers_eligible;n_top;n_mid;n_low;median_review_score;median_on_time_rate;median_freight_ratio;median_dispatch_days;total_gmv;pct_top
AM;1;0;0;0;0;2,3333;0,3333;0,1485;3,4279;1258,8;
BA;18;10;3;5;2;4,4199;1,0;0,1593;2,0501;297146,93;0,3
CE;12;5;1;4;0;4,2589;1,0;0,3285;2,6107;23724,05;0,2
DF;30;22;5;13;4;4,2917;0,9686;0,2774;2,4175;112892,78;0,2273
ES;22;12;3;8;1;4,4;1,0;0,343;2,1869;58853,49;0,25
GO;39;20;4;12;4;4,4;1,0;0,3207;2,0414;77089,48;0,2
MA;1;1;0;0;1;4,013;0,7686;0,3563;4,6648;48169,5;0,0
MG;236;145;26;99;20;4,3333;1,0;0,2725;2,351;1184427,54;0,1793
MS;5;4;1;3;0;4,1667;1,0;0,1614;3,3476;9750,65;0,25
MT;4;3;0;2;1;4,3721;0,968;0,3096;3,2589;21623,67;0,0
PA;1;1;0;1;0;4,5;0,875;0,2933;3,0522;1393,11;0,0
PB;6;3;0;2;1;4,125;1,0;0,2034;2,5037;17844,43;0,0
PE;9;5;1;3;1;4,3036;1,0;0,1647;2,1196;103486,1;0,2
PI;1;1;0;1;0;4,3636;1,0;0,3072;1,5209;2791,55;0,0
PR;335;191;49;114;28;4,3333;1,0;0,2665;2,2421;1424161,25;0,2565
RJ;163;99;22;62;15;4,2812;0,9783;0,2206;2,0148;911918,67;0,2222
RN;5;3;2;0;1;4,95;1,0;0,2753;1,7738;11296,71;0,6667
RO;2;2;0;2;0;4,0595;1,0;0,5055;2,0958;5474,98;0,0
RS;125;59;19;32;8;4,4706;1,0;0,2552;2,4559;429749,09;0,322
SC;184;95;20;59;16;4,3333;1,0;0,2639;2,0011;717739,37;0,2105
SE;2;1;0;0;1;3,85;1,0;0,2505;1,5919;1924,69;0,0
SP;1769;1084;185;686;213;4,25;0,9697;0,2476;2,213;9957056,91;0,1707
